iter	Logloss
0	0.4628739318
1	0.4281763666
2	0.4022652981
3	0.3831860415
4	0.3774881052
5	0.3721308786
6	0.3659243392
7	0.3620486732
8	0.355389343
9	0.3527145635
10	0.3501910481
11	0.3463624762
12	0.3442202109
13	0.3430404987
14	0.3412562207
15	0.3394359219
16	0.3380055675
17	0.3348774427
18	0.3333009699
19	0.3308898559
20	0.3287705488
21	0.3266195492
22	0.3255564155
23	0.320078151
24	0.318895346
25	0.3175872341
26	0.3147596036
27	0.3131804897
28	0.311751636
29	0.3105429087
30	0.3092603597
31	0.3083605181
32	0.307677717
33	0.3063204154
34	0.3058154588
35	0.3052127239
36	0.3043764266
37	0.3034218488
38	0.3026687717
39	0.3009740368
40	0.299784859
41	0.2989691084
42	0.2980164748
43	0.2973086963
44	0.2965782635
45	0.2959491352
46	0.2950981869
47	0.2945424527
48	0.2938274943
49	0.2931260746
50	0.2921897514
51	0.2917024266
52	0.2912969853
53	0.2904939127
54	0.2899915804
55	0.2891160375
56	0.288696022
57	0.2882553865
58	0.2871354347
59	0.2867671176
60	0.2862709676
61	0.2854027073
62	0.2838136476
63	0.2828651683
64	0.2824042324
65	0.2819113307
66	0.2816115042
67	0.2811396084
68	0.2806387272
69	0.2802343615
70	0.2798230252
71	0.279370737
72	0.2788113211
73	0.2782635055
74	0.2778496648
75	0.277066984
76	0.2764345391
77	0.2760505755
78	0.2753974318
79	0.2750378828
80	0.2745801647
81	0.274130209
82	0.2737922675
83	0.2733729985
84	0.2725252135
85	0.2720521166
86	0.2714609193
87	0.2709913362
88	0.2706581085
89	0.2700889929
90	0.2699157723
91	0.2694438145
92	0.2689535495
93	0.2685474097
94	0.2682252676
95	0.267920666
96	0.2672065073
97	0.2668984349
98	0.2664850057
99	0.2660947128
