iter	Passed	Remaining
0	28	2819
1	54	2656
2	80	2600
3	107	2586
4	136	2594
5	162	2544
6	189	2514
7	220	2530
8	248	2511
9	269	2426
10	294	2379
11	317	2329
12	345	2313
13	372	2289
14	417	2365
15	443	2329
16	470	2297
17	508	2314
18	542	2311
19	577	2308
20	615	2315
21	642	2278
22	668	2236
23	708	2242
24	741	2224
25	777	2211
26	818	2212
27	848	2182
28	875	2144
29	909	2122
30	945	2104
31	985	2093
32	1014	2060
33	1041	2021
34	1065	1979
35	1096	1948
36	1137	1936
37	1186	1936
38	1266	1981
39	1303	1954
40	1339	1927
41	1380	1905
42	1426	1891
43	1464	1863
44	1499	1833
45	1540	1808
46	1577	1778
47	1618	1753
48	1679	1748
49	1740	1740
50	1782	1712
51	1822	1682
52	1853	1643
53	1898	1617
54	1930	1579
55	1961	1541
56	1993	1503
57	2016	1460
58	2043	1419
59	2066	1377
60	2095	1339
61	2124	1302
62	2154	1265
63	2196	1235
64	2241	1206
65	2273	1170
66	2308	1137
67	2346	1104
68	2385	1071
69	2413	1034
70	2449	1000
71	2488	967
72	2520	932
73	2555	897
74	2595	865
75	2625	829
76	2664	795
77	2695	760
78	2733	726
79	2772	693
80	2807	658
81	2834	622
82	2862	586
83	2887	549
84	2915	514
85	2939	478
86	2967	443
87	2998	408
88	3022	373
89	3049	338
90	3078	304
91	3107	270
92	3133	235
93	3162	201
94	3195	168
95	3221	134
96	3248	100
97	3282	66
98	3310	33
99	3337	0
